D center
I 2
C 200
RECT 825, 1395, 5145, 2445
RECT 2415, 585, 3555, 1395
RECT 75, 765, 825, 1845
RECT 5145, 765, 5895, 1845
RECT 825, 915, 1575, 1395
RECT 4395, 915, 5145, 1395
RECT 2565, 2445, 3405, 2865
RECT 2655, 345, 3315, 585
RECT 435, 1845, 825, 2205
RECT 5145, 1845, 5505, 2235
RECT 1185, 2445, 2085, 2595
RECT 3885, 2445, 4785, 2595
RECT 1575, 1095, 1845, 1395
RECT 4095, 1125, 4395, 1395
RECT 2265, 885, 2415, 1395
RECT 3555, 885, 3705, 1395
RECT -15, 855, 75, 1695
RECT 5895, 855, 5985, 1695
RECT 825, 765, 1275, 915
RECT 4695, 765, 5145, 915
RECT 255, 675, 975, 765
RECT 2715, 2865, 3255, 2985
RECT 4995, 675, 5715, 765
RECT 5505, 1845, 5715, 2055
RECT 2415, 2445, 2565, 2715
RECT 3405, 2445, 3555, 2715
RECT 225, 1845, 435, 2025
RECT 645, 2205, 825, 2355
RECT 1425, 2595, 1875, 2655
RECT 2835, 255, 3135, 345
RECT 4095, 2595, 4545, 2655
RECT 1845, 1245, 1995, 1395
RECT 5145, 2235, 5325, 2355
RECT 2205, 1065, 2265, 1395
RECT 3705, 1065, 3765, 1395
RECT 2835, 2985, 3135, 3045
RECT 3945, 1275, 4095, 1395
RECT 1005, 2445, 1185, 2535
RECT 4215, 1035, 4395, 1125
RECT 4785, 2445, 4965, 2535
RECT 2535, 465, 2655, 585
RECT 3315, 465, 3435, 585
RECT 375, 645, 825, 675
RECT 5145, 645, 5595, 675
RECT 1275, 825, 1395, 915
RECT 1575, 975, 1665, 1095
RECT 2325, 765, 2415, 885
RECT 3555, 705, 3615, 885
RECT 4515, 855, 4695, 915
RECT 2085, 2445, 2235, 2505
RECT 2355, 2445, 2415, 2595
RECT 3555, 2445, 3615, 2595
RECT 3735, 2445, 3885, 2505
RECT 345, 2025, 435, 2115
RECT 555, 2205, 645, 2295
RECT 5505, 2055, 5595, 2145
RECT 5715, 1845, 5805, 1935
RECT 975, 705, 1095, 765
RECT 4875, 705, 4995, 765
RECT 2175, 1185, 2205, 1395
RECT 3765, 1185, 3795, 1395
RECT 135, 1845, 225, 1905
RECT 1665, 1035, 1755, 1095
RECT 1845, 1155, 1905, 1245
RECT 1995, 1305, 2055, 1395
RECT 2475, 2715, 2565, 2775
RECT 2625, 2865, 2715, 2925
RECT 3255, 2865, 3315, 2955
RECT 3405, 2715, 3465, 2805
RECT 4005, 1215, 4095, 1275
RECT 4305, 975, 4395, 1035
RECT 5325, 2235, 5415, 2295
RECT 1275, 2595, 1425, 2625
RECT 4545, 2595, 4695, 2625
RECT 15, 1695, 75, 1755
RECT 135, 735, 255, 765
RECT 705, 2355, 825, 2385
RECT 885, 2445, 1005, 2475
RECT 1395, 855, 1455, 915
RECT 1875, 2595, 1995, 2625
RECT 2085, 2505, 2145, 2565
RECT 2355, 705, 2415, 765
RECT 2475, 525, 2535, 585
RECT 2595, 405, 2655, 465
RECT 2715, 315, 2835, 345
RECT 3135, 285, 3195, 345
RECT 3315, 405, 3375, 465
RECT 3435, 525, 3495, 585
RECT 3615, 765, 3645, 885
RECT 3825, 2505, 3885, 2565
RECT 3885, 1335, 3945, 1395
RECT 3975, 2595, 4095, 2625
RECT 4575, 825, 4695, 855
RECT 4965, 2445, 5025, 2505
RECT 5145, 2355, 5205, 2415
RECT 5715, 705, 5775, 765
RECT 5895, 1695, 5955, 1755
RECT 255, 2025, 345, 2055
RECT 465, 2205, 555, 2235
RECT 1095, 735, 1185, 765
RECT 1095, 2535, 1185, 2565
RECT 2235, 975, 2265, 1065
RECT 2325, 2445, 2355, 2535
RECT 3615, 2445, 3645, 2535
RECT 3705, 975, 3735, 1065
RECT 4125, 1095, 4215, 1125
RECT 4785, 735, 4875, 765
RECT 4785, 2535, 4875, 2565
RECT 5715, 1935, 5745, 2025
RECT 15, 825, 75, 855
RECT 165, 1905, 225, 1935
RECT 195, 705, 255, 735
RECT 375, 2115, 435, 2145
RECT 765, 2385, 825, 2415
RECT 945, 2475, 1005, 2505
RECT 1275, 795, 1335, 825
RECT 1455, 885, 1515, 915
RECT 1905, 1185, 1935, 1245
RECT 2055, 1335, 2085, 1395
RECT 2295, 825, 2325, 885
RECT 2385, 645, 2415, 705
RECT 2385, 2595, 2415, 2655
RECT 2505, 2775, 2565, 2805
RECT 2655, 2925, 2715, 2955
RECT 2775, 285, 2835, 315
RECT 2775, 2985, 2835, 3015
RECT 3135, 2985, 3195, 3015
RECT 3195, 315, 3255, 345
RECT 3315, 2865, 3345, 2925
RECT 3465, 2715, 3495, 2775
RECT 3555, 645, 3585, 705
RECT 3555, 2595, 3585, 2655
RECT 3645, 825, 3675, 885
RECT 4035, 1185, 4095, 1215
RECT 4455, 885, 4515, 915
RECT 4635, 795, 4695, 825
RECT 5025, 2445, 5085, 2475
RECT 5205, 2355, 5265, 2385
RECT 5505, 2145, 5535, 2205
RECT 5595, 2055, 5625, 2115
RECT 5775, 735, 5835, 765
RECT 5805, 1845, 5835, 1905
RECT 5895, 795, 5925, 855
RECT 45, 795, 75, 825
RECT 45, 1755, 75, 1785
RECT 105, 1845, 135, 1875
RECT 195, 1935, 225, 1965
RECT 315, 2055, 345, 2085
RECT 405, 2145, 435, 2175
RECT 525, 2235, 555, 2265
RECT 615, 2295, 645, 2325
RECT 1575, 945, 1605, 975
RECT 1665, 1005, 1695, 1035
RECT 1755, 1065, 1785, 1095
RECT 1845, 1125, 1875, 1155
RECT 1935, 1215, 1965, 1245
RECT 1995, 1275, 2025, 1305
RECT 2085, 1365, 2115, 1395
RECT 2145, 2505, 2175, 2535
RECT 2235, 2445, 2265, 2475
RECT 2295, 2445, 2325, 2475
RECT 2445, 555, 2475, 585
RECT 2445, 2715, 2475, 2745
RECT 2505, 495, 2535, 525
RECT 2535, 2805, 2565, 2835
RECT 2565, 435, 2595, 465
RECT 2595, 2865, 2625, 2895
RECT 2625, 375, 2655, 405
RECT 3315, 375, 3345, 405
RECT 3345, 2865, 3375, 2895
RECT 3375, 435, 3405, 465
RECT 3405, 2805, 3435, 2835
RECT 3435, 495, 3465, 525
RECT 3495, 555, 3525, 585
RECT 3495, 2715, 3525, 2745
RECT 3645, 2445, 3675, 2475
RECT 3705, 2445, 3735, 2475
RECT 3795, 2505, 3825, 2535
RECT 3855, 1365, 3885, 1395
RECT 3915, 1305, 3945, 1335
RECT 3975, 1245, 4005, 1275
RECT 4065, 1155, 4095, 1185
RECT 4185, 1065, 4215, 1095
RECT 4275, 1005, 4305, 1035
RECT 4365, 945, 4395, 975
RECT 5325, 2295, 5355, 2325
